,garden_dirty_1,,,,,garden_grass_1,,garden_grass_1,
garden_tree_1,,,garden_tree_8,wooden_wall_01,wooden_wall_01,wooden_window_01_close,wooden_wall_01,wooden_wall_01,
,,garden_dirty_1,misc_barrel,wooden_wall_01,house_table,house_shink,house_stove,wooden_wall_01,garden_tree_8
garden_grass_1,garden_tree_8,garden_grass_1,crate,wooden_window_01_close,house_bench,,,wooden_window_01_close,garden_stone
,garden_grass_1,,wall_01_part_right,wooden_wall_01,house_bed,,house_computer,wooden_wall_01,garden_stone
,garden_tree_1,wall_01_part_right,wall_01_broke,wooden_wall_01,wooden_wall_01,wooden_door_01_close,wooden_wall_01,wooden_wall_01,garden_dirty_1
,garden_grass_2,,garden_stone,garden_tree_1,,garden_dirty_4,,garden_grass_2,
garden_tree_8,,garden_dirty_1,,,,garden_dirty_2,garden_tree_8,,
,,,garden_grass_1,,garden_dirty_4,garden_dirty_4,,,garden_dirty_2
garden_dirty_1,,garden_tree_8,,garden_grass_1,garden_grass_1,garden_tree_1,,garden_tree_8,
